seed,fitness original,fitness BT-Factor,fitness RE-BT,BT-Factor: delta fitness,BT-Factor (DNF) delta fitness,RE:BT: delta fitness,Possible to minimize?,Original battery over?,BT-Factor battery over?,BT-Factor dnf battery over?,RE:BT battery over?,RE:BT (no pruning) battery over?
264,36,36,33,0,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
265,45,45,47,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
266,38,38,38,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
267,35,35,35,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
268,34,34,32,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
269,35,35,8,0,0,27,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
270,41,41,41,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
271,37,37,7.5,0,0,29.5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
272,33,33,34,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
273,37,37,37,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
274,38,38,33,0,0,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
275,30,30,30,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
276,33,33,39,0,0,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
277,40,40,40,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
278,41,41,44,0,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
279,39,39,39,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
280,43,43,46,0,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
281,42,42,40,0,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
282,39,39,37,0,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
283,36,36,35,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
